vocab,pos_prob,neg_prob
thatboyace,1.299072462261945e-05,2.2370864186483524e-05
steaight,1.299072462261945e-05,8.948345674593409e-06
tdwp,2.59814492452389e-05,4.4741728372967045e-06
kermit,3.897217386785835e-05,8.948345674593409e-06
milliondolrbaby,1.299072462261945e-05,8.948345674593409e-06
bqx,1.299072462261945e-05,8.948345674593409e-06
cookin,1.299072462261945e-05,8.948345674593409e-06
iemonaids,2.59814492452389e-05,3.131920986107693e-05
zhou,1.299072462261945e-05,8.948345674593409e-06
pushinweight,1.299072462261945e-05,8.948345674593409e-06
fuxker,1.299072462261945e-05,8.948345674593409e-06
maury,1.299072462261945e-05,4.026755553567034e-05
gru,2.59814492452389e-05,4.4741728372967045e-06
txtq,1.299072462261945e-05,8.948345674593409e-06
halotgmg,1.299072462261945e-05,1.3422518511890114e-05
pgc,2.59814492452389e-05,4.4741728372967045e-06
stevemartintogo,1.299072462261945e-05,8.948345674593409e-06
bloodboiling,1.299072462261945e-05,8.948345674593409e-06
notch,2.59814492452389e-05,2.684503702378023e-05
pedro,1.299072462261945e-05,1.3422518511890114e-05
brickyardbeezy,1.299072462261945e-05,1.3422518511890114e-05
feminism,2.59814492452389e-05,2.2370864186483524e-05
mitchvorce,2.59814492452389e-05,1.3422518511890114e-05
boat,6.495362311309725e-05,5.369007404756046e-05
vote,0.000259814492452389,7.606093823404398e-05
company,7.79443477357167e-05,2.684503702378023e-05
lostb,1.299072462261945e-05,3.131920986107693e-05
brusly,1.299072462261945e-05,8.948345674593409e-06
saf,1.299072462261945e-05,8.948345674593409e-06
doee,1.299072462261945e-05,8.948345674593409e-06
ujcyj,1.299072462261945e-05,8.948345674593409e-06
hmu,3.897217386785835e-05,4.474172837296705e-05
trinidad,2.59814492452389e-05,8.948345674593409e-06
couldntbehappier,1.299072462261945e-05,8.948345674593409e-06
hlko,1.299072462261945e-05,8.948345674593409e-06
csfigyqut,1.299072462261945e-05,8.948345674593409e-06
marlsoul,1.299072462261945e-05,8.948345674593409e-06
mandingos,1.299072462261945e-05,8.948345674593409e-06
qualitest,1.299072462261945e-05,8.948345674593409e-06
mideast,1.299072462261945e-05,8.948345674593409e-06
ericajenee,1.299072462261945e-05,8.948345674593409e-06
nationalchamps,2.59814492452389e-05,4.4741728372967045e-06
written,6.495362311309725e-05,3.131920986107693e-05
vicd,1.299072462261945e-05,1.7896691349186818e-05
dasmycxodb,1.299072462261945e-05,8.948345674593409e-06
hogannohulk,1.299072462261945e-05,8.948345674593409e-06
geweest,2.59814492452389e-05,4.4741728372967045e-06
staciaburbidge,1.299072462261945e-05,8.948345674593409e-06
jefdabest,1.299072462261945e-05,1.7896691349186818e-05
twerkn,1.299072462261945e-05,8.948345674593409e-06
tranquillity,1.299072462261945e-05,8.948345674593409e-06
sw,6.495362311309725e-05,1.3422518511890114e-05
montea,1.299072462261945e-05,2.2370864186483524e-05
brandonernandez,1.299072462261945e-05,1.3422518511890114e-05
gushin,1.299072462261945e-05,8.948345674593409e-06
loso,1.299072462261945e-05,8.948345674593409e-06
oomfs,2.59814492452389e-05,4.4741728372967045e-06
kc,3.897217386785835e-05,8.948345674593409e-06
conformation,1.299072462261945e-05,8.948345674593409e-06
drunkatchurch,1.299072462261945e-05,8.948345674593409e-06
fajitas,1.299072462261945e-05,8.948345674593409e-06
window,0.00014289797084881395,8.053511107134068e-05
cydgoop,1.299072462261945e-05,8.948345674593409e-06
gradeschool,1.299072462261945e-05,8.948345674593409e-06
cue,3.897217386785835e-05,4.4741728372967045e-06
perpetual,2.59814492452389e-05,4.4741728372967045e-06
vid,2.59814492452389e-05,8.948345674593409e-06
annabella,1.299072462261945e-05,8.948345674593409e-06
spiderman,1.299072462261945e-05,8.948345674593409e-06
snoopaintlion,1.299072462261945e-05,8.948345674593409e-06
enforcement,5.19628984904778e-05,4.4741728372967045e-06
takingbacksunda,1.299072462261945e-05,8.948345674593409e-06
rgiii,1.299072462261945e-05,8.948345674593409e-06
flciking,1.299072462261945e-05,8.948345674593409e-06
dubz,1.299072462261945e-05,8.948345674593409e-06
josephnoonan,1.299072462261945e-05,8.948345674593409e-06
remy,2.59814492452389e-05,1.7896691349186818e-05
begs,1.299072462261945e-05,8.948345674593409e-06
lucybeeee,1.299072462261945e-05,8.948345674593409e-06
briiixo,2.59814492452389e-05,8.948345674593409e-06
unsolved,1.299072462261945e-05,8.948345674593409e-06
uesygaqlhx,1.299072462261945e-05,8.948345674593409e-06
uglass,1.299072462261945e-05,8.948345674593409e-06
muffie,1.299072462261945e-05,8.948345674593409e-06
funkydineva,1.299072462261945e-05,2.2370864186483524e-05
coffee,0.00022084231858453065,3.131920986107693e-05
tpxsupkx,1.299072462261945e-05,8.948345674593409e-06
ericanadine,2.59814492452389e-05,4.4741728372967045e-06
claraoswined,2.59814492452389e-05,4.4741728372967045e-06
renhotels,2.59814492452389e-05,4.4741728372967045e-06
toucherandrich,1.299072462261945e-05,8.948345674593409e-06
brotherhood,2.59814492452389e-05,4.4741728372967045e-06
rnk,1.299072462261945e-05,8.948345674593409e-06
hermoufpiece,1.299072462261945e-05,1.7896691349186818e-05
jackireininga,1.299072462261945e-05,8.948345674593409e-06
exchange,1.299072462261945e-05,1.3422518511890114e-05
nuz,1.299072462261945e-05,8.948345674593409e-06
doggie,1.299072462261945e-05,8.948345674593409e-06
keeled,1.299072462261945e-05,8.948345674593409e-06
hahahah,1.299072462261945e-05,2.2370864186483524e-05
empire,1.299072462261945e-05,8.948345674593409e-06
sizzurp,1.299072462261945e-05,2.684503702378023e-05
dylankwinnn,2.59814492452389e-05,4.4741728372967045e-06
txu,2.59814492452389e-05,4.4741728372967045e-06
jpw,2.59814492452389e-05,4.4741728372967045e-06
darealnano,1.299072462261945e-05,8.948345674593409e-06
warrenholstein,1.299072462261945e-05,8.948345674593409e-06
ufmje,2.59814492452389e-05,4.4741728372967045e-06
therealyoungzel,1.299072462261945e-05,1.3422518511890114e-05
loosen,1.299072462261945e-05,1.3422518511890114e-05
icpchad,2.59814492452389e-05,4.4741728372967045e-06
stanky,1.299072462261945e-05,8.948345674593409e-06
koleworld,1.299072462261945e-05,4.921590121026375e-05
witten,1.299072462261945e-05,8.948345674593409e-06
notoriousbeep,1.299072462261945e-05,1.3422518511890114e-05
mmmhmmm,1.299072462261945e-05,8.948345674593409e-06
hudgens,1.299072462261945e-05,8.948345674593409e-06
ballin,1.299072462261945e-05,3.5793382698373636e-05
fascist,2.59814492452389e-05,4.4741728372967045e-06
aide,1.299072462261945e-05,8.948345674593409e-06
hockeydrunk,1.299072462261945e-05,8.948345674593409e-06
wackproducer,1.299072462261945e-05,8.948345674593409e-06
se,9.093507235833614e-05,0.00014317353079349455
dsaend,1.299072462261945e-05,1.7896691349186818e-05
hustlelinaa,1.299072462261945e-05,8.948345674593409e-06
haram,2.59814492452389e-05,4.4741728372967045e-06
lrg,1.299072462261945e-05,8.948345674593409e-06
siding,2.59814492452389e-05,4.4741728372967045e-06
wfantrades,2.59814492452389e-05,4.4741728372967045e-06
yd,2.59814492452389e-05,4.4741728372967045e-06
keshun,1.299072462261945e-05,8.948345674593409e-06
chvntre,1.299072462261945e-05,8.948345674593409e-06
understood,7.79443477357167e-05,2.2370864186483524e-05
datnigpriest,1.299072462261945e-05,8.948345674593409e-06
sexreiationship,1.299072462261945e-05,8.948345674593409e-06
yawl,1.299072462261945e-05,8.948345674593409e-06
buffet,1.299072462261945e-05,1.3422518511890114e-05
cjty,1.299072462261945e-05,8.948345674593409e-06
capuano,1.299072462261945e-05,8.948345674593409e-06
dallying,1.299072462261945e-05,8.948345674593409e-06
nathanndevlin,1.299072462261945e-05,3.5793382698373636e-05
senmikelee,2.59814492452389e-05,4.4741728372967045e-06
kitchen,3.897217386785835e-05,4.474172837296705e-05
hlm,2.59814492452389e-05,4.4741728372967045e-06
lovearmeireee,1.299072462261945e-05,8.948345674593409e-06
offseason,3.897217386785835e-05,4.4741728372967045e-06
alla,1.299072462261945e-05,1.3422518511890114e-05
enterprise,2.59814492452389e-05,4.4741728372967045e-06
clepets,2.59814492452389e-05,4.4741728372967045e-06
khariz,1.299072462261945e-05,8.948345674593409e-06
nevermind,2.59814492452389e-05,2.2370864186483524e-05
asvspiqxmh,2.59814492452389e-05,4.4741728372967045e-06
da,0.0006105640572631141,0.0012661909129549674
slippin,1.299072462261945e-05,1.7896691349186818e-05
raised,1.299072462261945e-05,8.053511107134068e-05
expectomichaela,1.299072462261945e-05,8.948345674593409e-06
dontesydnor,2.59814492452389e-05,4.4741728372967045e-06
bitchmode,1.299072462261945e-05,8.948345674593409e-06
jenner,1.299072462261945e-05,8.948345674593409e-06
abortionfunds,2.59814492452389e-05,4.4741728372967045e-06
vcv,1.299072462261945e-05,8.948345674593409e-06
leppard,2.59814492452389e-05,4.4741728372967045e-06
maas,1.299072462261945e-05,8.948345674593409e-06
realm,1.299072462261945e-05,8.948345674593409e-06
miikito,1.299072462261945e-05,8.948345674593409e-06
michane,1.299072462261945e-05,8.948345674593409e-06
typically,1.299072462261945e-05,8.948345674593409e-06
beardownjedi,2.59814492452389e-05,4.4741728372967045e-06
lifeofshan,2.59814492452389e-05,4.4741728372967045e-06
respect,0.0001299072462261945,0.000272924543075099
harmssy,1.299072462261945e-05,8.948345674593409e-06
realpimpinken,1.299072462261945e-05,8.948345674593409e-06
jh,1.299072462261945e-05,8.948345674593409e-06
yes,0.0002857959416976279,0.0004921590121026375
swagfags,1.299072462261945e-05,8.948345674593409e-06
messed,2.59814492452389e-05,1.3422518511890114e-05
calvin,2.59814492452389e-05,8.948345674593409e-06
orih,2.59814492452389e-05,4.4741728372967045e-06
emmalouisasuttl,5.19628984904778e-05,4.4741728372967045e-06
earlybird,2.59814492452389e-05,4.4741728372967045e-06
april,5.19628984904778e-05,1.3422518511890114e-05
beckwith,2.59814492452389e-05,4.4741728372967045e-06
oodbptgv,1.299072462261945e-05,8.948345674593409e-06
drivemy,1.299072462261945e-05,1.3422518511890114e-05
hampshire,1.299072462261945e-05,8.948345674593409e-06
cleanin,1.299072462261945e-05,8.948345674593409e-06
gpnd,1.299072462261945e-05,8.948345674593409e-06
verified,1.299072462261945e-05,8.948345674593409e-06
futuristic,2.59814492452389e-05,4.4741728372967045e-06
russlljones,2.59814492452389e-05,4.4741728372967045e-06
noinfidel,1.299072462261945e-05,1.3422518511890114e-05
itswhittytitty,1.299072462261945e-05,8.948345674593409e-06
concentrate,1.299072462261945e-05,1.3422518511890114e-05
helenkimfitz,1.299072462261945e-05,8.948345674593409e-06
taddsaelee,1.299072462261945e-05,8.948345674593409e-06
daliasza,2.59814492452389e-05,4.4741728372967045e-06
uxqbna,2.59814492452389e-05,4.4741728372967045e-06
honestyhour,1.299072462261945e-05,1.7896691349186818e-05
amck,1.299072462261945e-05,8.948345674593409e-06
tra,2.59814492452389e-05,4.4741728372967045e-06
quqvhu,1.299072462261945e-05,8.948345674593409e-06
emojis,1.299072462261945e-05,4.921590121026375e-05
brownshirt,2.59814492452389e-05,4.4741728372967045e-06
selfie,5.19628984904778e-05,5.369007404756046e-05
flashy,1.299072462261945e-05,1.3422518511890114e-05
thebsharp,1.299072462261945e-05,1.3422518511890114e-05
grilled,1.299072462261945e-05,1.3422518511890114e-05
wodaeeex,2.59814492452389e-05,6.711259255945057e-05
troncat,1.299072462261945e-05,8.948345674593409e-06
indykaila,2.59814492452389e-05,4.4741728372967045e-06
low,9.093507235833614e-05,0.00021476029619024183
malt,1.299072462261945e-05,8.948345674593409e-06
longdong,1.299072462261945e-05,1.3422518511890114e-05
texas,0.0001299072462261945,9.84318024205275e-05
cir,3.897217386785835e-05,4.4741728372967045e-06
pbu,1.299072462261945e-05,8.948345674593409e-06
parkour,2.59814492452389e-05,4.4741728372967045e-06
chelseypaige,1.299072462261945e-05,1.3422518511890114e-05
lunwvp,1.299072462261945e-05,8.948345674593409e-06
built,3.897217386785835e-05,7.606093823404398e-05
justmoody,1.299072462261945e-05,8.948345674593409e-06
dijo,1.299072462261945e-05,8.948345674593409e-06
calvii,1.299072462261945e-05,8.948345674593409e-06
crown,3.897217386785835e-05,2.2370864186483524e-05
chefwaites,1.299072462261945e-05,8.948345674593409e-06
dnt,1.299072462261945e-05,0.00012080266660701103
tortilla,2.59814492452389e-05,8.948345674593409e-06
lake,5.19628984904778e-05,3.131920986107693e-05
persian,1.299072462261945e-05,8.948345674593409e-06
clubbing,1.299072462261945e-05,8.948345674593409e-06
bm,1.299072462261945e-05,3.5793382698373636e-05
cij,2.59814492452389e-05,4.4741728372967045e-06
lookie,1.299072462261945e-05,8.948345674593409e-06
wagon,3.897217386785835e-05,4.4741728372967045e-06
bunnydahoney,1.299072462261945e-05,8.948345674593409e-06
larryx,1.299072462261945e-05,1.3422518511890114e-05
bpfz,1.299072462261945e-05,8.948345674593409e-06
flyer,3.897217386785835e-05,1.7896691349186818e-05
bullllllshiiiiitttt,1.299072462261945e-05,8.948345674593409e-06
meant,5.19628984904778e-05,7.158676539674727e-05
jakeburnsmfc,2.59814492452389e-05,4.4741728372967045e-06
splash,1.299072462261945e-05,4.474172837296705e-05
urct,2.59814492452389e-05,4.4741728372967045e-06
cherrybby,1.299072462261945e-05,8.948345674593409e-06
mendes,1.299072462261945e-05,1.3422518511890114e-05
wulf,1.299072462261945e-05,8.948345674593409e-06
humoring,1.299072462261945e-05,8.948345674593409e-06
prepared,3.897217386785835e-05,8.948345674593409e-06
cryystalina,1.299072462261945e-05,1.7896691349186818e-05
thegodwriter,2.59814492452389e-05,4.4741728372967045e-06
xgeqmrzq,1.299072462261945e-05,8.948345674593409e-06
rippimpc,1.299072462261945e-05,8.948345674593409e-06
olmajvztpr,1.299072462261945e-05,8.948345674593409e-06
dome,3.897217386785835e-05,1.7896691349186818e-05
andrizzy,1.299072462261945e-05,8.948345674593409e-06
martin,0.0001558886954714334,1.7896691349186818e-05
secretasianman,2.59814492452389e-05,4.4741728372967045e-06
justkorey,1.299072462261945e-05,8.948345674593409e-06
rotation,2.59814492452389e-05,8.948345674593409e-06
whoever,5.19628984904778e-05,5.816424688485716e-05
jtl,2.59814492452389e-05,4.4741728372967045e-06
sleepover,1.299072462261945e-05,1.7896691349186818e-05
mdot,1.299072462261945e-05,8.948345674593409e-06
kelsss,1.299072462261945e-05,8.948345674593409e-06
eduardo,2.59814492452389e-05,8.948345674593409e-06
klansman,1.299072462261945e-05,8.948345674593409e-06
farm,7.79443477357167e-05,1.3422518511890114e-05
glenbrittle,2.59814492452389e-05,4.4741728372967045e-06
sbaby,5.19628984904778e-05,0.00012080266660701103
shaking,3.897217386785835e-05,1.7896691349186818e-05
coreystweetnass,1.299072462261945e-05,8.948345674593409e-06
stencil,3.897217386785835e-05,4.4741728372967045e-06
cano,5.19628984904778e-05,4.4741728372967045e-06
shortened,2.59814492452389e-05,4.4741728372967045e-06
leaning,1.299072462261945e-05,8.948345674593409e-06
ina,1.299072462261945e-05,0.00014317353079349455
rswgnpltc,2.59814492452389e-05,4.4741728372967045e-06
esex,1.299072462261945e-05,8.948345674593409e-06
slop,2.59814492452389e-05,8.948345674593409e-06
gpr,2.59814492452389e-05,4.4741728372967045e-06
boburnham,1.299072462261945e-05,8.948345674593409e-06
curly,3.897217386785835e-05,1.3422518511890114e-05
leerkrachten,2.59814492452389e-05,4.4741728372967045e-06
kiddin,1.299072462261945e-05,8.948345674593409e-06
alanah,1.299072462261945e-05,8.948345674593409e-06
patron,2.59814492452389e-05,1.7896691349186818e-05
bryan,3.897217386785835e-05,1.7896691349186818e-05
coolstorysam,1.299072462261945e-05,8.948345674593409e-06
manstagram,2.59814492452389e-05,1.3422518511890114e-05
hyped,1.299072462261945e-05,1.3422518511890114e-05
travistefft,2.59814492452389e-05,4.4741728372967045e-06
hobbit,2.59814492452389e-05,1.7896691349186818e-05
den,5.19628984904778e-05,0.00013869935795619785
diein,1.299072462261945e-05,8.948345674593409e-06
fukk,1.299072462261945e-05,1.3422518511890114e-05
zc,3.897217386785835e-05,8.948345674593409e-06
oliviagobert,2.59814492452389e-05,4.4741728372967045e-06
monopoly,1.299072462261945e-05,1.3422518511890114e-05
changethemascot,2.59814492452389e-05,4.4741728372967045e-06
commenting,1.299072462261945e-05,8.948345674593409e-06
alexiswoa,1.299072462261945e-05,8.948345674593409e-06
planning,1.299072462261945e-05,1.3422518511890114e-05
tastiest,1.299072462261945e-05,8.948345674593409e-06
cranky,1.299072462261945e-05,8.948345674593409e-06
cantista,2.59814492452389e-05,4.4741728372967045e-06
mayasolovely,2.59814492452389e-05,4.4741728372967045e-06
celebs,1.299072462261945e-05,8.948345674593409e-06
swlygfv,1.299072462261945e-05,8.948345674593409e-06
duunkk,1.299072462261945e-05,8.948345674593409e-06
yahweh,2.59814492452389e-05,4.4741728372967045e-06
percy,1.299072462261945e-05,8.948345674593409e-06
goodwood,1.299072462261945e-05,8.948345674593409e-06
wmn,2.59814492452389e-05,4.4741728372967045e-06
sthemisfit,1.299072462261945e-05,8.948345674593409e-06
donthebear,1.299072462261945e-05,8.948345674593409e-06
erecycle,1.299072462261945e-05,8.948345674593409e-06
allymarshalll,1.299072462261945e-05,8.948345674593409e-06
sme,1.299072462261945e-05,1.3422518511890114e-05
hoein,1.299072462261945e-05,8.948345674593409e-06
earthquake,2.59814492452389e-05,4.4741728372967045e-06
duuuuuuu,1.299072462261945e-05,8.948345674593409e-06
urjndmgdrj,1.299072462261945e-05,8.948345674593409e-06
gferguson,3.897217386785835e-05,4.4741728372967045e-06
plane,0.00019486086933929176,1.3422518511890114e-05
nina,1.299072462261945e-05,2.2370864186483524e-05
rtk,1.299072462261945e-05,8.948345674593409e-06
mrhoratiosanz,1.299072462261945e-05,8.948345674593409e-06
hears,1.299072462261945e-05,8.948345674593409e-06
perf,1.299072462261945e-05,8.948345674593409e-06
manning,3.897217386785835e-05,3.131920986107693e-05
thecrewfinest,1.299072462261945e-05,1.3422518511890114e-05
taywest,1.299072462261945e-05,8.948345674593409e-06
versa,1.299072462261945e-05,2.2370864186483524e-05
remix,2.59814492452389e-05,3.131920986107693e-05
wilma,2.59814492452389e-05,4.4741728372967045e-06
hillllll,1.299072462261945e-05,8.948345674593409e-06
sanabria,2.59814492452389e-05,4.4741728372967045e-06
derailing,2.59814492452389e-05,4.4741728372967045e-06
doped,1.299072462261945e-05,8.948345674593409e-06
tishforprez,2.59814492452389e-05,8.948345674593409e-06
mza,1.299072462261945e-05,8.948345674593409e-06
teeaduh,1.299072462261945e-05,8.948345674593409e-06
llw,1.299072462261945e-05,8.948345674593409e-06
williamb,1.299072462261945e-05,8.948345674593409e-06
sticker,2.59814492452389e-05,1.7896691349186818e-05
beyonc,2.59814492452389e-05,5.816424688485716e-05
wgyl,2.59814492452389e-05,4.4741728372967045e-06
thestrangelog,2.59814492452389e-05,4.4741728372967045e-06
layaface,2.59814492452389e-05,8.948345674593409e-06
recognition,1.299072462261945e-05,8.948345674593409e-06
got,0.0013380446361298034,0.005337688194894968
jay,0.00019486086933929176,0.00015212187646808796
freddurst,1.299072462261945e-05,8.948345674593409e-06
rayiopez,3.897217386785835e-05,1.3422518511890114e-05
exsposin,1.299072462261945e-05,8.948345674593409e-06
scoop,1.299072462261945e-05,2.2370864186483524e-05
premature,1.299072462261945e-05,8.948345674593409e-06
clan,2.59814492452389e-05,2.2370864186483524e-05
potato,0.00016887942009405284,6.263841972215386e-05
guz,1.299072462261945e-05,8.948345674593409e-06
erection,1.299072462261945e-05,8.948345674593409e-06
racism,7.79443477357167e-05,3.131920986107693e-05
hemightbejason,1.299072462261945e-05,8.948345674593409e-06
shamargothoes,2.59814492452389e-05,1.3422518511890114e-05
surfer,1.299072462261945e-05,8.948345674593409e-06
purrls,1.299072462261945e-05,8.948345674593409e-06
polite,3.897217386785835e-05,8.948345674593409e-06
xoxokelsey,1.299072462261945e-05,8.948345674593409e-06
voka,1.299072462261945e-05,8.948345674593409e-06
gracie,1.299072462261945e-05,1.3422518511890114e-05
opposite,1.299072462261945e-05,2.2370864186483524e-05
highway,3.897217386785835e-05,4.4741728372967045e-06
shootin,1.299072462261945e-05,1.3422518511890114e-05
gahdamnanimal,1.299072462261945e-05,8.948345674593409e-06
jeancartier,1.299072462261945e-05,8.948345674593409e-06
imnotmakingitup,2.59814492452389e-05,4.4741728372967045e-06
branninwgl,1.299072462261945e-05,1.7896691349186818e-05
paymon,1.299072462261945e-05,8.948345674593409e-06
jeandeaux,1.299072462261945e-05,8.948345674593409e-06
underwear,1.299072462261945e-05,8.948345674593409e-06
google,2.59814492452389e-05,2.684503702378023e-05
daniellathepimp,1.299072462261945e-05,8.948345674593409e-06
bayleebork,1.299072462261945e-05,8.948345674593409e-06
empirical,1.299072462261945e-05,8.948345674593409e-06
spunge,2.59814492452389e-05,4.4741728372967045e-06
whitekidwraps,1.299072462261945e-05,8.948345674593409e-06
crq,1.299072462261945e-05,8.948345674593409e-06
theonlycorae,1.299072462261945e-05,8.948345674593409e-06
golfwangslut,1.299072462261945e-05,8.948345674593409e-06
questioniaskmyself,1.299072462261945e-05,8.948345674593409e-06
letz,2.59814492452389e-05,4.4741728372967045e-06
stblocklokee,1.299072462261945e-05,8.948345674593409e-06
shoota,1.299072462261945e-05,1.3422518511890114e-05
bitchen,1.299072462261945e-05,8.948345674593409e-06
davidbcohen,2.59814492452389e-05,4.4741728372967045e-06
lonernigga,1.299072462261945e-05,8.948345674593409e-06
wtzd,2.59814492452389e-05,4.4741728372967045e-06
texarkana,1.299072462261945e-05,8.948345674593409e-06
wayneroot,2.59814492452389e-05,4.4741728372967045e-06
babbyyy,1.299072462261945e-05,8.948345674593409e-06
wack,2.59814492452389e-05,0.00014317353079349455
trashiest,1.299072462261945e-05,8.948345674593409e-06
lassen,1.299072462261945e-05,8.948345674593409e-06
sabrinaaaaa,1.299072462261945e-05,8.948345674593409e-06
kvioaiepcb,1.299072462261945e-05,8.948345674593409e-06
ihqgu,1.299072462261945e-05,8.948345674593409e-06
adrianmayer,1.299072462261945e-05,8.948345674593409e-06
gabris,3.897217386785835e-05,8.948345674593409e-06
zlvq,1.299072462261945e-05,8.948345674593409e-06
fitemeirl,1.299072462261945e-05,8.948345674593409e-06
shirt,0.00019486086933929176,0.00016107022214268137
lonniedukes,1.299072462261945e-05,8.948345674593409e-06
ak,2.59814492452389e-05,2.2370864186483524e-05
infinity,2.59814492452389e-05,4.4741728372967045e-06
alexvelazquez,1.299072462261945e-05,8.948345674593409e-06
daft,1.299072462261945e-05,8.948345674593409e-06
ytd,1.299072462261945e-05,8.948345674593409e-06
fpcb,1.299072462261945e-05,8.948345674593409e-06
carol,2.59814492452389e-05,8.948345674593409e-06
prissyneeer,1.299072462261945e-05,8.948345674593409e-06
masochist,2.59814492452389e-05,4.4741728372967045e-06
dora,1.299072462261945e-05,1.7896691349186818e-05
freezing,2.59814492452389e-05,1.7896691349186818e-05
slammed,1.299072462261945e-05,1.3422518511890114e-05
taste,9.093507235833614e-05,0.00025055367888861545
brunswickbecooo,1.299072462261945e-05,8.948345674593409e-06
niggaaaaa,1.299072462261945e-05,8.948345674593409e-06
pushed,1.299072462261945e-05,1.7896691349186818e-05
bind,1.299072462261945e-05,8.948345674593409e-06
prvnceflvcko,1.299072462261945e-05,8.948345674593409e-06
rank,2.59814492452389e-05,1.3422518511890114e-05
ywvvg,2.59814492452389e-05,4.4741728372967045e-06
zmkwgnzoct,2.59814492452389e-05,4.4741728372967045e-06
morally,1.299072462261945e-05,8.948345674593409e-06
platinum,2.59814492452389e-05,1.3422518511890114e-05
blackrichyrich,1.299072462261945e-05,8.948345674593409e-06
itschee,2.59814492452389e-05,4.4741728372967045e-06
vehicle,1.299072462261945e-05,1.7896691349186818e-05
